     Angle,       PSD,
        20,      1421,
   20.0499,      1350,
   20.0997,      1382,
   20.1496,      1389,
   20.1995,      1364,
   20.2493,      1333,
   20.2992,      1273,
   20.3491,      1308,
   20.3989,      1298,
   20.4488,      1323,
   20.4987,      1350,
   20.5486,      1327,
   20.5984,      1356,
   20.6483,      1265,
   20.6982,      1266,
    20.748,      1289,
   20.7979,      1322,
   20.8478,      1362,
   20.8976,      1309,
   20.9475,      1353,
   20.9974,      1303,
   21.0472,      1224,
   21.0971,      1262,
    21.147,      1297,
   21.1968,      1312,
   21.2467,      1336,
   21.2966,      1332,
   21.3464,      1316,
   21.3963,      1326,
   21.4462,      1345,
    21.496,      1294,
   21.5459,      1337,
   21.5958,      1317,
   21.6457,      1258,
   21.6955,      1319,
   21.7454,      1243,
   21.7953,      1231,
   21.8451,      1239,
    21.895,      1275,
   21.9449,      1247,
   21.9947,      1259,
   22.0446,      1267,
   22.0945,      1207,
   22.1443,      1272,
   22.1942,      1227,
   22.2441,      1226,
   22.2939,      1303,
   22.3438,      1235,
   22.3937,      1254,
   22.4435,      1224,
   22.4934,      1193,
   22.5433,      1315,
   22.5932,      1253,
    22.643,      1187,
   22.6929,      1357,
   22.7428,      1271,
   22.7926,      1236,
   22.8425,      1187,
   22.8924,      1289,
   22.9422,      1228,
   22.9921,      1228,
    23.042,      1209,
   23.0918,      1182,
   23.1417,      1205,
   23.1916,      1179,
   23.2414,      1215,
   23.2913,      1205,
   23.3412,      1173,
    23.391,      1203,
   23.4409,      1142,
   23.4908,      1160,
   23.5406,      1246,
   23.5905,      1206,
   23.6404,      1183,
   23.6903,      1200,
   23.7401,      1126,
     23.79,      1169,
   23.8399,      1241,
   23.8897,      1178,
   23.9396,      1133,
   23.9895,      1136,
   24.0393,      1167,
   24.0892,      1189,
   24.1391,      1182,
   24.1889,      1141,
   24.2388,      1149,
   24.2887,      1109,
   24.3385,      1257,
   24.3884,      1095,
   24.4383,      1150,
   24.4881,      1099,
    24.538,      1097,
   24.5879,      1156,
   24.6378,      1194,
   24.6876,      1075,
   24.7375,      1056,
   24.7874,      1130,
   24.8372,      1110,
   24.8871,      1133,
    24.937,      1126,
   24.9868,      1163,
   25.0367,      1114,
   25.0866,      1115,
   25.1364,      1055,
   25.1863,      1047,
   25.2362,      1078,
    25.286,      1050,
   25.3359,      1082,
   25.3858,      1086,
   25.4356,      1101,
   25.4855,      1081,
   25.5354,      1093,
   25.5852,      1108,
   25.6351,      1050,
    25.685,      1081,
   25.7349,      1052,
   25.7847,      1096,
   25.8346,      1007,
   25.8845,      1001,
   25.9343,      1052,
   25.9842,      1078,
   26.0341,      1083,
   26.0839,      1107,
   26.1338,       997,
   26.1837,      1118,
   26.2335,      1057,
   26.2834,      1050,
   26.3333,      1003,
   26.3831,      1074,
    26.433,      1008,
   26.4829,      1014,
   26.5327,      1069,
